yearend,locationabbr,locationdesc,sex,stratification1,grade,question,data_value
2005,GA,Georgia,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,9.5
2005,GU,Guam,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Total,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,GU,Guam,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2005,HI,Hawaii,Female,Female,,Percent of students in grades 9-12 who have obesity,7.9
2005,HI,Hawaii,,9th,9th,Percent of students in grades 9-12 who have obesity,12.2
2005,HI,Hawaii,,10th,10th,Percent of students in grades 9-12 who have obesity,13.2
2005,HI,Hawaii,,11th,11th,Percent of students in grades 9-12 who have obesity,14.7
2005,HI,Hawaii,,12th,12th,Percent of students in grades 9-12 who have obesity,11.9
2005,HI,Hawaii,Male,Male,,Percent of students in grades 9-12 who have obesity,17.8
2005,HI,Hawaii,,Total,,Percent of students in grades 9-12 who have obesity,13.1
2005,HI,Hawaii,,2 or more races,,Percent of students in grades 9-12 who have obesity,11.7
2005,HI,Hawaii,,Asian,,Percent of students in grades 9-12 who have obesity,9.4
2005,HI,Hawaii,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,HI,Hawaii,,Hispanic,,Percent of students in grades 9-12 who have obesity,14.9
2005,HI,Hawaii,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,21.5
2005,HI,Hawaii,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,HI,Hawaii,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,6.0
2005,IA,Iowa,Female,Female,,Percent of students in grades 9-12 who have obesity,8.7
2005,IA,Iowa,,9th,9th,Percent of students in grades 9-12 who have obesity,10.6
2005,IA,Iowa,,10th,10th,Percent of students in grades 9-12 who have obesity,11.8
2005,IA,Iowa,,11th,11th,Percent of students in grades 9-12 who have obesity,13.2
2005,IA,Iowa,,12th,12th,Percent of students in grades 9-12 who have obesity,13.5
2005,IA,Iowa,Male,Male,,Percent of students in grades 9-12 who have obesity,15.5
2005,IA,Iowa,,Total,,Percent of students in grades 9-12 who have obesity,12.2
2005,IA,Iowa,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,IA,Iowa,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,12.1
2005,ID,Idaho,Female,Female,,Percent of students in grades 9-12 who have obesity,5.5
2005,ID,Idaho,,9th,9th,Percent of students in grades 9-12 who have obesity,5.4
2005,ID,Idaho,,10th,10th,Percent of students in grades 9-12 who have obesity,7.6
2005,ID,Idaho,,11th,11th,Percent of students in grades 9-12 who have obesity,8.0
2005,ID,Idaho,,12th,12th,Percent of students in grades 9-12 who have obesity,7.8
2005,ID,Idaho,Male,Male,,Percent of students in grades 9-12 who have obesity,8.8
2005,ID,Idaho,,Total,,Percent of students in grades 9-12 who have obesity,7.2
2005,ID,Idaho,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,ID,Idaho,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,ID,Idaho,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,ID,Idaho,,Hispanic,,Percent of students in grades 9-12 who have obesity,12.6
2005,ID,Idaho,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,ID,Idaho,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,ID,Idaho,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,6.1
2005,IL,Illinois,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Total,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,IL,Illinois,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,Female,Female,,Percent of students in grades 9-12 who have obesity,9.1
2005,IN,Indiana,,9th,9th,Percent of students in grades 9-12 who have obesity,17.4
2005,IN,Indiana,,10th,10th,Percent of students in grades 9-12 who have obesity,14.2
2005,IN,Indiana,,11th,11th,Percent of students in grades 9-12 who have obesity,14.2
2005,IN,Indiana,,12th,12th,Percent of students in grades 9-12 who have obesity,13.5
2005,IN,Indiana,Male,Male,,Percent of students in grades 9-12 who have obesity,20.4
2005,IN,Indiana,,Total,,Percent of students in grades 9-12 who have obesity,14.9
2005,IN,Indiana,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,22.5
2005,IN,Indiana,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,IN,Indiana,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,14.3
2005,KS,Kansas,Female,Female,,Percent of students in grades 9-12 who have obesity,8.7
2005,KS,Kansas,,9th,9th,Percent of students in grades 9-12 who have obesity,8.6
2005,KS,Kansas,,10th,10th,Percent of students in grades 9-12 who have obesity,14.6
2005,KS,Kansas,,11th,11th,Percent of students in grades 9-12 who have obesity,12.4
2005,KS,Kansas,,12th,12th,Percent of students in grades 9-12 who have obesity,11.2
2005,KS,Kansas,Male,Male,,Percent of students in grades 9-12 who have obesity,14.7
2005,KS,Kansas,,Total,,Percent of students in grades 9-12 who have obesity,11.8
2005,KS,Kansas,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,KS,Kansas,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,KS,Kansas,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,KS,Kansas,,Hispanic,,Percent of students in grades 9-12 who have obesity,13.5
2005,KS,Kansas,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,KS,Kansas,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,KS,Kansas,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,11.1
2005,KY,Kentucky,Female,Female,,Percent of students in grades 9-12 who have obesity,10.2
2005,KY,Kentucky,,9th,9th,Percent of students in grades 9-12 who have obesity,14.3
2005,KY,Kentucky,,10th,10th,Percent of students in grades 9-12 who have obesity,16.6
2005,KY,Kentucky,,11th,11th,Percent of students in grades 9-12 who have obesity,16.1
2005,KY,Kentucky,,12th,12th,Percent of students in grades 9-12 who have obesity,14.6
2005,KY,Kentucky,Male,Male,,Percent of students in grades 9-12 who have obesity,20.4
2005,KY,Kentucky,,Total,,Percent of students in grades 9-12 who have obesity,15.4
2005,KY,Kentucky,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,KY,Kentucky,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,KY,Kentucky,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,15.5
2005,KY,Kentucky,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,KY,Kentucky,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,KY,Kentucky,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,KY,Kentucky,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,15.4
2005,LA,Louisiana,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Total,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,LA,Louisiana,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2005,MA,Massachusetts,Female,Female,,Percent of students in grades 9-12 who have obesity,7.2
2005,MA,Massachusetts,,9th,9th,Percent of students in grades 9-12 who have obesity,14.6
2005,MA,Massachusetts,,10th,10th,Percent of students in grades 9-12 who have obesity,10.3
2005,MA,Massachusetts,,11th,11th,Percent of students in grades 9-12 who have obesity,9.7
2005,MA,Massachusetts,,12th,12th,Percent of students in grades 9-12 who have obesity,9.0
2005,MA,Massachusetts,Male,Male,,Percent of students in grades 9-12 who have obesity,14.8
2005,MA,Massachusetts,,Total,,Percent of students in grades 9-12 who have obesity,11.1
2005,MA,Massachusetts,,2 or more races,,Percent of students in grades 9-12 who have obesity,12.8
2005,MA,Massachusetts,,Asian,,Percent of students in grades 9-12 who have obesity,7.8
2005,MA,Massachusetts,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,15.5
2005,MA,Massachusetts,,Hispanic,,Percent of students in grades 9-12 who have obesity,14.1
2005,MA,Massachusetts,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MA,Massachusetts,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,MA,Massachusetts,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.2
2005,MD,Maryland,Female,Female,,Percent of students in grades 9-12 who have obesity,9.6
2005,MD,Maryland,,9th,9th,Percent of students in grades 9-12 who have obesity,14.6
2005,MD,Maryland,,10th,10th,Percent of students in grades 9-12 who have obesity,10.6
2005,MD,Maryland,,11th,11th,Percent of students in grades 9-12 who have obesity,12.0
2005,MD,Maryland,,12th,12th,Percent of students in grades 9-12 who have obesity,12.8
2005,MD,Maryland,Male,Male,,Percent of students in grades 9-12 who have obesity,15.5
2005,MD,Maryland,,Total,,Percent of students in grades 9-12 who have obesity,12.6
2005,MD,Maryland,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,MD,Maryland,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MD,Maryland,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,15.4
2005,MD,Maryland,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,MD,Maryland,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MD,Maryland,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,MD,Maryland,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,11.3
2005,ME,Maine,Female,Female,,Percent of students in grades 9-12 who have obesity,6.1
2005,ME,Maine,,9th,9th,Percent of students in grades 9-12 who have obesity,11.0
2005,ME,Maine,,10th,10th,Percent of students in grades 9-12 who have obesity,11.9
2005,ME,Maine,,11th,11th,Percent of students in grades 9-12 who have obesity,11.6
2005,ME,Maine,,12th,12th,Percent of students in grades 9-12 who have obesity,8.1
2005,ME,Maine,Male,Male,,Percent of students in grades 9-12 who have obesity,15.1
2005,ME,Maine,,Total,,Percent of students in grades 9-12 who have obesity,10.8
2005,ME,Maine,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,ME,Maine,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.3
2005,MI,Michigan,Female,Female,,Percent of students in grades 9-12 who have obesity,7.9
2005,MI,Michigan,,9th,9th,Percent of students in grades 9-12 who have obesity,9.6
2005,MI,Michigan,,10th,10th,Percent of students in grades 9-12 who have obesity,13.1
2005,MI,Michigan,,11th,11th,Percent of students in grades 9-12 who have obesity,13.0
2005,MI,Michigan,,12th,12th,Percent of students in grades 9-12 who have obesity,12.6
2005,MI,Michigan,Male,Male,,Percent of students in grades 9-12 who have obesity,15.8
2005,MI,Michigan,,Total,,Percent of students in grades 9-12 who have obesity,12.0
2005,MI,Michigan,,2 or more races,,Percent of students in grades 9-12 who have obesity,13.9
2005,MI,Michigan,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MI,Michigan,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,22.0
2005,MI,Michigan,,Hispanic,,Percent of students in grades 9-12 who have obesity,13.5
2005,MI,Michigan,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MI,Michigan,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,15.6
2005,MI,Michigan,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,9.6
2005,MN,Minnesota,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Total,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,MN,Minnesota,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,Female,Female,,Percent of students in grades 9-12 who have obesity,10.6
2005,MO,Missouri,,9th,9th,Percent of students in grades 9-12 who have obesity,14.2
2005,MO,Missouri,,10th,10th,Percent of students in grades 9-12 who have obesity,12.0
2005,MO,Missouri,,11th,11th,Percent of students in grades 9-12 who have obesity,14.1
2005,MO,Missouri,,12th,12th,Percent of students in grades 9-12 who have obesity,15.3
2005,MO,Missouri,Male,Male,,Percent of students in grades 9-12 who have obesity,17.1
2005,MO,Missouri,,Total,,Percent of students in grades 9-12 who have obesity,13.8
2005,MO,Missouri,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,21.1
2005,MO,Missouri,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,MO,Missouri,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,12.4
2005,MS,Mississippi,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Total,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,MS,Mississippi,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2005,MT,Montana,Female,Female,,Percent of students in grades 9-12 who have obesity,4.4
2005,MT,Montana,,9th,9th,Percent of students in grades 9-12 who have obesity,8.1
2005,MT,Montana,,10th,10th,Percent of students in grades 9-12 who have obesity,10.2
2005,MT,Montana,,11th,11th,Percent of students in grades 9-12 who have obesity,10.2
2005,MT,Montana,,12th,12th,Percent of students in grades 9-12 who have obesity,7.8
2005,MT,Montana,Male,Male,,Percent of students in grades 9-12 who have obesity,13.9
2005,MT,Montana,,Total,,Percent of students in grades 9-12 who have obesity,9.3
2005,MT,Montana,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,MT,Montana,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,MT,Montana,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,MT,Montana,,Hispanic,,Percent of students in grades 9-12 who have obesity,6.8
2005,MT,Montana,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,MT,Montana,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,16.3
2005,MT,Montana,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,8.4
2005,NC,North Carolina,Female,Female,,Percent of students in grades 9-12 who have obesity,11.1
2005,NC,North Carolina,,9th,9th,Percent of students in grades 9-12 who have obesity,13.3
2005,NC,North Carolina,,10th,10th,Percent of students in grades 9-12 who have obesity,14.2
2005,NC,North Carolina,,11th,11th,Percent of students in grades 9-12 who have obesity,11.9
2005,NC,North Carolina,,12th,12th,Percent of students in grades 9-12 who have obesity,14.0
2005,NC,North Carolina,Male,Male,,Percent of students in grades 9-12 who have obesity,15.6
2005,NC,North Carolina,,Total,,Percent of students in grades 9-12 who have obesity,13.4
2005,NC,North Carolina,,2 or more races,,Percent of students in grades 9-12 who have obesity,9.8
2005,NC,North Carolina,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,NC,North Carolina,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,17.3
2005,NC,North Carolina,,Hispanic,,Percent of students in grades 9-12 who have obesity,18.3
2005,NC,North Carolina,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,NC,North Carolina,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,NC,North Carolina,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.9
2005,ND,North Dakota,Female,Female,,Percent of students in grades 9-12 who have obesity,6.2
2005,ND,North Dakota,,9th,9th,Percent of students in grades 9-12 who have obesity,10.6
2005,ND,North Dakota,,10th,10th,Percent of students in grades 9-12 who have obesity,11.2
2005,ND,North Dakota,,11th,11th,Percent of students in grades 9-12 who have obesity,10.3
2005,ND,North Dakota,,12th,12th,Percent of students in grades 9-12 who have obesity,12.6
2005,ND,North Dakota,Male,Male,,Percent of students in grades 9-12 who have obesity,15.8
2005,ND,North Dakota,,Total,,Percent of students in grades 9-12 who have obesity,11.1
2005,ND,North Dakota,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,ND,North Dakota,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,ND,North Dakota,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,ND,North Dakota,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,ND,North Dakota,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,ND,North Dakota,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,24.1
2005,ND,North Dakota,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,8.9
2005,NE,Nebraska,Female,Female,,Percent of students in grades 9-12 who have obesity,7.7
2005,NE,Nebraska,,9th,9th,Percent of students in grades 9-12 who have obesity,11.6
2005,NE,Nebraska,,10th,10th,Percent of students in grades 9-12 who have obesity,10.2
2005,NE,Nebraska,,11th,11th,Percent of students in grades 9-12 who have obesity,10.9
2005,NE,Nebraska,,12th,12th,Percent of students in grades 9-12 who have obesity,11.1
2005,NE,Nebraska,Male,Male,,Percent of students in grades 9-12 who have obesity,14.0
2005,NE,Nebraska,,Total,,Percent of students in grades 9-12 who have obesity,10.9
2005,NE,Nebraska,,2 or more races,,Percent of students in grades 9-12 who have obesity,9.6
2005,NE,Nebraska,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,NE,Nebraska,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,NE,Nebraska,,Hispanic,,Percent of students in grades 9-12 who have obesity,16.2
2005,NE,Nebraska,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,NE,Nebraska,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,NE,Nebraska,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.0
2005,NH,New Hampshire,Female,Female,,Percent of students in grades 9-12 who have obesity,7.7
2005,NH,New Hampshire,,9th,9th,Percent of students in grades 9-12 who have obesity,13.4
2005,NH,New Hampshire,,10th,10th,Percent of students in grades 9-12 who have obesity,11.9
2005,NH,New Hampshire,,11th,11th,Percent of students in grades 9-12 who have obesity,8.3
2005,NH,New Hampshire,,12th,12th,Percent of students in grades 9-12 who have obesity,11.5
2005,NH,New Hampshire,Male,Male,,Percent of students in grades 9-12 who have obesity,14.9
2005,NH,New Hampshire,,Total,,Percent of students in grades 9-12 who have obesity,11.3
2005,NH,New Hampshire,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,Asian,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,NH,New Hampshire,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,11.3
2005,NJ,New Jersey,Female,Female,,Percent of students in grades 9-12 who have obesity,8.1
2005,NJ,New Jersey,,9th,9th,Percent of students in grades 9-12 who have obesity,12.1
2005,NJ,New Jersey,,10th,10th,Percent of students in grades 9-12 who have obesity,9.9
2005,NJ,New Jersey,,11th,11th,Percent of students in grades 9-12 who have obesity,12.3
2005,NJ,New Jersey,,12th,12th,Percent of students in grades 9-12 who have obesity,10.6
2005,NJ,New Jersey,Male,Male,,Percent of students in grades 9-12 who have obesity,14.5
2005,NJ,New Jersey,,Total,,Percent of students in grades 9-12 who have obesity,11.3
2005,NJ,New Jersey,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,NJ,New Jersey,,Asian,,Percent of students in grades 9-12 who have obesity,11.5
2005,NJ,New Jersey,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,15.1
2005,NJ,New Jersey,,Hispanic,,Percent of students in grades 9-12 who have obesity,19.8
2005,NJ,New Jersey,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,NJ,New Jersey,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2005,NJ,New Jersey,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,8.0
2005,NM,New Mexico,Female,Female,,Percent of students in grades 9-12 who have obesity,6.5
2005,NM,New Mexico,,9th,9th,Percent of students in grades 9-12 who have obesity,12.5
2005,NM,New Mexico,,10th,10th,Percent of students in grades 9-12 who have obesity,13.9
2005,NM,New Mexico,,11th,11th,Percent of students in grades 9-12 who have obesity,10.4
2005,NM,New Mexico,,12th,12th,Percent of students in grades 9-12 who have obesity,10.4
2005,NM,New Mexico,Male,Male,,Percent of students in grades 9-12 who have obesity,17.3
2005,NM,New Mexico,,Total,,Percent of students in grades 9-12 who have obesity,12.0
2005,NM,New Mexico,,2 or more races,,Percent of students in grades 9-12 who have obesity,16.5
2005,NM,New Mexico,,Asian,,Percent of students in grades 9-12 who have obesity,6.2
2005,NM,New Mexico,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,11.5
2005,NM,New Mexico,,Hispanic,,Percent of students in grades 9-12 who have obesity,14.0
2005,NM,New Mexico,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2005,NM,New Mexico,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,18.4
2005,NM,New Mexico,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,6.3
2005,NV,Nevada,Female,Female,,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,9th,9th,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,10th,10th,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,11th,11th,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,12th,12th,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,Male,Male,,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,Total,,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2005,NV,Nevada,,Asian,,Percent of students in grades 9-12 who have obesity,
